,units_min,units_max,course_number,course_name,course_subject,quarters
112,3,3,369B,Medical Imaging Systems II,EE,['Winter']
113,3,5,372,Design Projects in VLSI Systems II,EE,['Spring']
114,3,3,374,Blockchain Foundations,EE,['Winter']
115,3,3,377,Information Theory and Statistics (STATS 311),EE,['Autumn']
116,3,3,378A,Statistical Signal Processing,EE,['Spring']
117,3,3,379,Digital Communication,EE,['Winter']
118,1,1,380,Colloquium on Computer Systems,EE,"['Summer', 'Winter', 'Autumn', 'Spring']"
119,3,3,382A,Parallel Processors Beyond Multicore Processing,EE,['Spring']
120,3,3,384S,Performance Engineering of Computer Systems & Networks,EE,['Spring']
121,1,15,390,Special Studies or Projects in Electrical Engineering,EE,"['Summer', 'Winter', 'Spring', 'Autumn']"
122,1,15,391,Special Studies and Reports in Electrical Engineering,EE,"['Summer', 'Winter', 'Spring', 'Autumn']"
123,3,3,392AA,Multi-User Data Transmission,EE,['Spring']
124,1,1,392B,Industrial AI,EE,['Spring']
125,1,15,400,Thesis and Thesis Research,EE,"['Summer', 'Winter', 'Spring', 'Autumn']"
126,1,1,402A,"Topics in International Technology Management (EALC 402A, EASTASN 402A)",EE,['Autumn']
127,1,1,402T,"Entrepreneurship in Asian High Tech Industries (EALC 402T, EASTASN 402T)",EE,['Spring']
128,0,0,801,TGR Project,EE,"['Summer', 'Winter', 'Spring', 'Autumn']"
129,0,0,802,TGR Dissertation,EE,"['Summer', 'Winter', 'Spring', 'Autumn']"
